"sep=,"
"received_message","pattern_matching","reply_message","multiple_replies","multiple_reply_delay","multiple_reply_delay_max","recipients","contacts","ignored_contacts","reply_delay","reply_delay_max","specific_times","monday","tuesday","wednesday","thursday","friday","saturday","sunday","pause_type","pause_value","disabled","subrule_of","go_to_rule","req_screen_off","req_charging","req_silent","req_do_not_disturb","req_car_mode","prev_rule_timeout","priority_alert"
"#dhhackbar","none","*Dh adalah aplikasi Hack bar yang sangat populer dan ini gunanya  untuk membantu kalian melakukan BugHunter dan untuk cara install nya cek #carainstall*\n\nLink: https://safefileku.com/download/U3cQCZaWosboF4E","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#alightmotion","none","*BERIKUT ADALAH LINK ALIGHTMOTION PRO MOD TERBARU %day_of_week%/%day_of_month_short%/%month_name%/%year%*\n\n[ LINK: https://apkdone.com/id/alight-motion/ ]","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#reportbug","none","*[ WAIT PROSES...❗]*<#>Hallo..%name%\n------------------------------------------------------------\n*LAPORKAN BUG KE EMAIL KAMI❗*\n\n📧EMAIL: ynzbotz@gmail.com\n\n*ATAU ANDA BISA LAPORKAN LANGSUNG KE OWNER BOT❗*\n\n📲NO.OWNER: https://wa.me/6283841539788","all","5","5","b","","","2","2","0","","","","","","","","seconds","0","0","","",,,,,,,
"#zarchifer","none","*BERIKUT ADALAH LINK ZARCHIFER PRO MOD TERBARU %day_of_week%/%day_of_month_short%/%month_name%/%year%*\n\n[ LINK: https://youtu.be/k_M3dTyyoHc ]","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#botstat","none","*[ WAIT PROSES...❗]*<#>╔════════════════════\n║ *STATISTICTS •|• YnzBotZ 〽️ *\n╠════════════════════\n║╭──❉ *INFO BOT* ❉─────\n║│❂⧐ BOT NAME: YnzBotZ 〽️\n║│❂⧐ USER : VIP USE\n║│❂⧐ BOT DATE: %day_of_week_short%,%day_of_month%,%month_name% %year%\n║│❂⧐ POWER BOT: %battery%%\n║│❂⧐ BOT VERSION : 2.4.0\n║│❂⧐ TIME/HOUR : %hour_of_day%:%minute% WlB\n║│❂⧐ RECEIVED COUNT: %received_count%\n║│❂⧐ REPLY COUNT GROUPS: %reply_count_groups%\n║│❂⧐ REPLY COUNT DAY: %reply_count_day%\n║│❂⧐ REPLY COUNT CONTACTS: %reply_count_contacts%\n║│❂⧐ REPLY COUNT OVERALL: %reply_count_overall%\n║│❂⧐ APP URL: https://www.mediafire.com/file/mbjiw1v7gx2beum/AutoResponder_untuk_WA_2.4.0.apk/file\n║╰──────────────────\n╠════════════════════\n║\n║              %day_of_month%-%month_short%-%year%\n║  ▌│█║▌║▌║║▌║▌║█│▌\n║  ▌│█║▌║▌║║▌║▌║█│▌\n║        \n╠════════════════════\n║ _*POWERED BY YnzBotZ 〽️*_\n╚════════════════════","all","5","5","b","","","2","2","0","","","","","","","","seconds","0","0","","",,,,,,,
"#tools","none","*[ WAIT PROSES...❗]*<#>╭─「 *YanzX Mods Bot〽️* 」\n║╭─────  \n║├「 lNFORMATION 」\n║│ USERNAME: %name%\n║│ ACCOUNT : STANDAR\n║│ DATE: %day_of_month%/%month%/%year%\n║│ POWER BOT: %battery%%\n║│ BOT VERSION : 2.4.0\n║│ TIME/HOUR : 11:53 WlB\n║╰─────       \n╠「LIST MENU」\n╠✪⧐#darkfb\n╠✪⧐#phising\n╠✪⧐#nmap\n╠✪⧐#bughunter\n╠✪⧐#redhawk\n╠✪⧐#sqlmap\n╠✪⧐#daijoubu\n╠✪⧐#webdavtools\n╠✪⧐#kodrok\n╠✪⧐#inurl\n╠✪⧐#adminfinder\n╠✪⧐#cakil\n╠✪⧐#lazymux\n╠✪⧐#weeman\n║\n╠「 WARNING 」\n║_Ini adalah tools paling work\n║yang kami kumpulkan dari\n║beberapa Website._\n║\n╰─「©By YnzBotZ〽️」<#>*「 WARNING 」*\n_MENU DI ATAS HANYA BISA DI GUNAKAN OLEH USER PREMIUM❗_","all","5","5","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#webdav","none","*Webdav adalah aplikasi Hack Website (Deface) nah ini adalah aplikasi Deface yang mudah di gunakan dan sangat simpel dan bisa tebas index, #carainstall untuk cara install.*\n\nLink: https://safefileku.com/download/RUZR3zEgJt4zaMS","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#donasi","none","_Hallo, kak It'z Me YanzX〽️ bantu donasi ya supaya bot lebih baik👋_\n╔════════════════════\n║ *DONASI UNTUK YnzBotZ 〽️ *\n╠════════════════════\n║╭──❉ *DONASI KAK* ❉─────\n║│➸ *DANA*: -\n║│➸ *PULSA*:[+6285776126736]\n║│➸ *GOPAY*: -\n║╰──────────────────\n╠════════════════════\n║\n║             %day_of_month%-%month_short%-%year%\n║  ▌│█║▌║▌║║▌║▌║█│▌\n║  ▌│█║▌║▌║║▌║▌║█│▌\n║        \n╠════════════════════\n║ _*POWERED BY YnzBotZ 〽️*_\n╚════════════════════\n\n\n*Note:*\n_ KIRIM BUKTI TRANSFER KE OWNER:)_\n\n*Nyari nomor owner??,ketik *#owner*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#sc by","normal","*[ WAIT PROSES...❗]*<#><!DOCTYPE html>\n<html lang=""en"" >\n<html>\n<head>\n<title>HACKED BY YnzBotZ 〽️</title>\n<font class=""hk2"" style=""text-shadow: 1px -1px 8px;"" face=""tahoma"">\n<font color=""grey"">\n<font size=""5"">\n<link rel='stylesheet' id'skebggallery-css' href='http://shop4brides.ru/wp-content/themes/irex-lite/SketchBoard/functions/sketch-background-gallery/inc/front/css/skebggallery.css?ver=4.0.1' type='text/css' media='all' />\n			  <script type='text/javascript' src='http://shop4brides.ru/wp-includes/js/jquery/jquery.js?ver=1.11.1'></script>\n              <script type='text/javascript' src='http://shop4brides.ru/wp-content/themes/irex-lite/SketchBoard/functions/sketch-background-gallery/inc/front/js/skebggallery.js?ver=4.0.1'></script> \n			  <style> .error { text-align: center; font-family: 'Gilda Display', serif; -webkit-animation: noise-3 1s linear infinite; animation: noise-3 1s linear infinite; overflow: default; } .info { text-align: center; width: 200px; height: 60px; margin: auto; position: absolute; top: 280px; bottom: 0; left: 20px; right: 0; -webkit-animation: noise-3 1s linear infinite; animation: noise-3 1s linear infinite; } .info:after { content: 'OWNED'; font-family: OCR-A; font-size: 100px; text-align: center; width: 800px; margin: auto; position: absolute; top: 20px; bottom: 0; left: 40px; right: 0; opacity: 0; color: white; -webkit-animation: noise-1 .2s linear infinite; animation: noise-1 .2s linear infinite; } @-webkit-keyframes noise-1 { 0%, 20%, 40%, 60%, 70%, 90% {opacity: 0;} 10% {opacity: .1;} 50% {opacity: .5; left: -6px;} 80% {opacity: .3;} 100% {opacity: .6; left: 2px;} } @keyframes noise-1 { 0%, 20%, 40%, 60%, 70%, 90% {opacity: 0;} 10% {opacity: .1;} 50% {opacity: .5; left: -6px;} 80% {opacity: .3;} 100% {opacity: .6; left: 2px;} } @-webkit-keyframes noise-2 { 0%, 20%, 40%, 60%, 70%, 90% {opacity: 0;} 10% {opacity: .1;} 50% {opacity: .5; left: 6px;} 80% {opacity: .3;} 100% {opacity: .6; left: -2px;} } @keyframes noise-2 { 0%, 20%, 40%, 60%, 70%, 90% {opacity: 0;} 10% {opacity: .1;} 50% {opacity: .5; left: 6px;} 80% {opacity: .3;} 100% {opacity: .6; left: -2px;} } @-webkit-keyframes noise { 0%, 3%, 5%, 42%, 44%, 100% {opacity: 1; -webkit-transform: scaleY(1); transform: scaleY(1);} 4.3% {opacity: 1; -webkit-transform: scaleY(1.7); transform: scaleY(1.7);} 43% {opacity: 1; -webkit-transform: scaleX(1.5); transform: scaleX(1.5);} } @keyframes noise { 0%, 3%, 5%, 42%, 44%, 100% {opacity: 1; -webkit-transform: scaleY(1); transform: scaleY(1);} 4.3% {opacity: 1; -webkit-transform: scaleY(1.7); transform: scaleY(1.7);} 43% {opacity: 1; -webkit-transform: scaleX(1.5); transform: scaleX(1.5);} } @-webkit-keyframes noise-3 { 0%,3%,5%,42%,44%,100% {opacity: 1; -webkit-transform: scaleY(1); transform: scaleY(1);} 4.3% {opacity: 1; -webkit-transform: scaleY(4); transform: scaleY(4);} 43% {opacity: 1; -webkit-transform: scaleX(10) rotate(60deg); transform: scaleX(10) rotate (60deg);} } @keyframes noise-3 { 0%,3%,5%,42%,44%,100% {opacity: 1; -webkit-transform: scaleY(1); transform: scaleY(1);} 4.3% {opacity: 1; -webkit-transform: scaleY(4); transform: scaleY(4);} 43% {opacity: 1; -webkit-transform: scaleX(10) rotate(60deg); transform: scaleX(10) rotate (60deg);} } .wrap { top: 30%; left: 25%; height: 200px; margin-top: -100px; position: absolute; } code { color: white; } span.blue { color: #48beef; } span.comment { color: #7f8c8d; } span.orange { color: #f39c12; } span.green { color: #33cc33; } .viewFull { font-family:OCR-A; color:orange; text-decoration:; } 	 } @media only screen and (min-height: 500px) { .viewFull{ display:none; 	 	} } 	</style> <center> <style> img { filter:alpha(opacity=70); -moz-opacity:0.7; opacity:0.7; } img:hover { filter:alpha(opacity=100); -moz-opacity:.0; opacity:1.0; } </style>\n			   <link href=""https://fonts.googleapis.com/css?family=Chicle|Yatra+One"" rel=""stylesheet"" type=""text/css"" >\n<script>\nalert(""Assalamualaikum om"");\n</script>\n</head>\n<body bgcolor=Black>\n<script type=""text/javascript"" src=""http://htmlfreecodes.com/codes/rain.js""></script><br><div class=""error"">\n<font color=""red"" size=""7"" face=""Chicle"">HACKED BY YnzBotZ 〽️\n<center>\n</font><br>\n<img style=""width:50%"" src=""https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcSeB9LLn_jySP7MQK_Els38ZGj3wXb_MNVLbQ&usqp=CAU""></div>\n<font color=red>\n<br>\n<b><font face=""courier new"" size='6'>Sorry admin<br>your website<br>is down:)\n<marquee behavior=""scroll"" direction=""left"" scrollamount=""90"" scrolldelay=""40"" width=""100%"">\n<font color=""green"">___________________________________________________________</font></marquee>\n<div style=""text-shadow: 0px 0px 10px green;""><span style=""color: white;""><font face=""transformers""><b>Thanks To : <marquee scrollamount=""5"" direction=""left"" width=""50%""><span style=""color: red;""> <span style=""color: red;"">Thank To: YnzBotZ 〽️ || YanzX Mods〽️ || 🎖️TEAM VIRTUAL GIRL & BOY🎖️ || And All My Friends<span style=""color: red;""></b></marquee></font></div><script type=""text/rocketscript"">/*<![CDATA[*/new TypingText(document.getElementById(""message""), 90, function(i){ var ar= new Array(""_"", "" "", ""_"", "" ""); return """" +ar[i.length % ar.length]; });//Type out examples:TypingText.runAll();/*]]>*/</script>\n<marquee behavior=""scroll"" direction=""right"" scrollamount=""90"" scrolldelay=""40"" width=""100%"">\n<font color=""green"">___________________________________________________________</font></marquee>\n</body>\n</html><#>*_Kalian bisa ubah Tulisan Hacked By YnzBotZ 〽️,Jadi Nama Kalian.._*<#>*_Selanjutnya Ubah Script Di atas Menjadi File html_*","all","4","4","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#anonhackbar","none","*AnonHackbar adalah aplikasi Hack bar yang sangat populer dan ini gunanya  untuk membantu kalian melakukan BugHunter dan untuk cara install nya cek #carainstall*\n\nLink: https://safefileku.com/download/wKufuA5EovdJGIl","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#termux","none","*TERMUX Adalah aplikasi Terminal hacking yang bisa kalian gunakan untuk menjalankan Tools, ya tepatnya aplikasi ini adalah aplikasi Linux yang di buat mobile*\n\nLink: https://play.google.com/store/apps/details?id=com.termux\n------------------------------------------------------------<#>_🔰TERMUX MOD APK TERBARU 🔰_\n\n*Termux Mod.apk*\n\nLink:\nhttps://www.mediafire.com/file/ltbb7j1p0loy5xh/Termux_0.117.apk/file\n------------------------------------------------------------","all","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#linux","none","*Linux adalah Terminal hacking yang sangat populer di kalangan nya, dan untuk cara install nya agak timur di jelaskan dengan kata kata, karena itu kamu bisa cek di link YouTube Wanz Xploit*\n\nLink: https://youtu.be/8obt6MUInY8","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#scriptdroid","none","*Script Droid adalah aplikasi yang di gunakan untuk Membuat sc Deface secara instan, #carainstall untuk melihat cara install*\n\nLink: https://safefileku.com/download/gZGt9OEFDjkSg2Q","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#wxd","none","*Aplikasi ini adalah aplikasi Hack Website yang mempunyai beberbagai Tools lain*\n\nLink: https://safefileku.com/download/hk6kFe16EjzxvMJ","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#droidsqli","none","*aplikasi ini adalah aplikasi sqli yang sangat di minati para hacker untuk melakukan sqli dengan instan*\n\nLink: https://safefileku.com/download/w3jXQXw1OEd1WdG","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
".mungkin*","normal","👤Nama:%name%\n❓Pertanyaan: %message%\n\n*_Jawaban: Mungkin Iya..:)_*<#>👤Nama:%name%\n❓Pertanyaan: %message%\n\n*_Jawaban: Mungkin saja_*<#>👤Nama:%name%\n❓Pertanyaan: %message%\n\n*_Jawaban: Gk mungkin Cok🗿_*<#>👤Nama:%name%\n❓Pertanyaan: %message%\n\n*_Jawaban: GK tau bro..🗿_*<#>👤Nama:%name%\n❓Pertanyaan: %message%\n\n*_Jawaban: Yo Ndak Tau Kok Tanya Saya🗿_*<#>👤Nama:%name%\n❓Pertanyaan: %message%\n\n*_Jawaban: Iya...🙃_*<#>👤Nama:%name%\n❓Pertanyaan: %message%\n\n*_Jawaban: Mungkin saja:)_*<#>👤Nama:%name%\n❓Pertanyaan: %message%\n\n*_Coba ulangi pertanyaan nya:vv_*","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
".apa//.apa*","normal","👤Nama:%name%\n❓Pertanyaan: %message%\n\n*_Jawaban: Mmm,Apa y:v_*<#>👤Nama:%name%\n❓Pertanyaan: %message%\n\n*_Jawaban: Enggak🗿_*<#>👤Nama:%name%\n❓Pertanyaan: %message%\n\n*_Jawaban: Gatau:v_*<#>👤Nama:%name%\n❓Pertanyaan: %message%\n\n*_Jawaban: Hanya Tuhan Mu Lah Yang Tau:)_*<#>👤Nama:%name%\n❓Pertanyaan: %message%\n\n*_Jawaban: Yo Ndak Tau Kok Tanya Saya🗿_*<#>👤Nama:%name%\n❓Pertanyaan: %message%\n\n*_Jawaban: Iya kali:v_*<#>👤Nama:%name%\n❓Pertanyaan: %message%\n\n*_Jawaban: Bentar gw lgi mikir...🗿_*<#>👤Nama:%name%\n❓Pertanyaan: %message%\n\n*_Jawaban: Iyh sayang😗_*<#>👤Nama:%name%\n❓Pertanyaan: %message%\n\n*_Jawaban: Coba ulangi lagi..._*","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
